iter	Passed	Remaining
646	1944	1352
647	1947	1349
648	1951	1346
649	1954	1343
650	1957	1340
651	1960	1337
652	1962	1334
653	1965	1331
654	1968	1328
655	1971	1325
656	1974	1322
657	1978	1319
658	1981	1316
659	1984	1313
660	1987	1310
661	1990	1308
662	1993	1304
663	1996	1301
664	1999	1298
665	2002	1295
666	2005	1292
667	2008	1289
668	2010	1286
669	2013	1283
670	2016	1280
671	2019	1277
672	2022	1274
673	2025	1271
674	2028	1268
675	2031	1265
676	2034	1262
677	2037	1259
678	2040	1255
679	2043	1252
680	2046	1249
681	2049	1246
682	2052	1243
683	2055	1241
684	2058	1238
685	2061	1234
686	2064	1231
687	2066	1228
688	2069	1225
689	2072	1222
690	2075	1219
691	2078	1216
692	2080	1213
693	2083	1209
694	2086	1206
695	2089	1203
696	2092	1200
697	2095	1197
698	2098	1194
699	2101	1191
700	2104	1188
701	2107	1185
702	2110	1182
703	2113	1179
704	2116	1176
705	2119	1173
706	2121	1170
707	2124	1167
708	2127	1164
709	2130	1161
710	2133	1158
711	2136	1155
712	2139	1152
713	2142	1149
714	2145	1146
715	2148	1143
716	2151	1140
717	2154	1137
718	2157	1134
719	2160	1131
720	2162	1127
721	2166	1125
722	2169	1122
723	2172	1119
724	2175	1116
725	2178	1113
726	2180	1109
727	2183	1106
728	2186	1103
729	2190	1101
730	2193	1098
731	2196	1095
732	2199	1092
733	2202	1089
734	2205	1086
735	2208	1083
736	2211	1080
737	2214	1077
738	2217	1074
739	2220	1071
740	2223	1068
741	2227	1065
742	2230	1062
743	2232	1059
744	2235	1056
745	2238	1053
746	2241	1050
747	2244	1047
748	2247	1044
749	2250	1041
750	2253	1038
751	2255	1034
752	2259	1032
753	2262	1029
754	2265	1026
755	2268	1023
756	2271	1020
757	2274	1017
758	2276	1013
759	2279	1010
760	2282	1007
761	2285	1004
762	2288	1001
763	2291	998
764	2294	995
765	2297	992
766	2299	989
767	2302	986
768	2305	983
769	2308	980
770	2311	977
771	2314	974
772	2317	971
773	2320	968
774	2323	965
775	2326	962
776	2329	959
777	2332	956
778	2335	953
779	2338	950
780	2340	947
781	2344	944
782	2347	941
783	2350	938
784	2353	935
785	2356	932
786	2358	929
787	2361	926
788	2364	923
789	2367	920
790	2370	917
791	2373	914
792	2376	911
793	2379	908
794	2382	905
795	2385	902
796	2388	899
797	2391	896
798	2394	893
799	2397	890
800	2400	887
801	2403	884
802	2406	881
803	2409	878
804	2412	875
805	2415	872
806	2418	869
807	2421	866
808	2424	863
809	2427	860
810	2430	857
811	2433	853
812	2435	850
813	2438	847
814	2441	844
815	2444	841
816	2447	838
817	2450	835
818	2453	832
819	2456	829
820	2458	826
821	2461	823
822	2464	820
823	2467	817
824	2470	814
825	2473	811
826	2476	808
827	2479	805
828	2482	802
829	2485	799
830	2488	796
831	2491	793
832	2494	790
833	2497	787
